"Quadro 4.1 - População residente, por nacionalidade, estado civil e união de facto, Portugal, 2021",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Estado civil,,,,,,,,,,,,,,,,,União de facto,,
,Total ,,,,,Solteiro,,,Casado,,,Divorciado,,,Viúvo,,,,,
,HM,H,M,,,HM,H,M,HM,H,M,HM,H,M,HM,H,M,HM,H,M
População residente,10 343 066,4 920 220,5 422 846,,,4 495 408,2 310 057,2 185 351,4 237 312,2 116 858,2 120 454, 830 227, 345 866, 484 361, 780 119, 147 439, 632 680,1 008 604, 505 195, 503 409
Nacionalidade portuguesa,9 800 752,4 654 568,5 146 184,,,4 211 272,2 163 970,2 047 302,4 024 500,2 012 290,2 012 210, 797 196, 333 155, 464 041, 767 784, 145 153, 622 631, 933 101, 471 210, 461 891
Nacionalidade estrangeira, 542 165, 265 572, 276 593,,, 284 064, 146 048, 138 016, 212 756, 104 536, 108 220, 33 021, 12 707, 20 314, 12 324, 2 281, 10 043, 75 481, 33 978, 41 503
Principais nacionalidades,,,,,,,,,,,,,,,,,,,,
Brasil, 199 810, 89 503, 110 307,,, 105 919, 51 086, 54 833, 77 748, 34 331, 43 417, 13 596, 3 857, 9 739, 2 547,  229, 2 318, 31 546, 13 150, 18 396
Angola, 31 556, 13 707, 17 849,,, 22 963, 10 422, 12 541, 6 550, 2 783, 3 767, 1 075,  411,  664,  968,  91,  877, 4 313, 2 045, 2 268
Cabo Verde, 27 144, 12 814, 14 330,,, 20 506, 9 712, 10 794, 4 885, 2 575, 2 310,  739,  355,  384, 1 014,  172,  842, 4 941, 2 717, 2 224
Reino Unido, 24 609, 12 874, 11 735,,, 7 859, 4 242, 3 617, 13 036, 6 982, 6 054, 2 460, 1 285, 1 175, 1 254,  365,  889, 3 665, 1 954, 1 711
Ucrânia, 21 199, 9 613, 11 586,,, 7 450, 3 990, 3 460, 11 000, 4 940, 6 060, 1 916,  581, 1 335,  833,  102,  731, 2 460,  952, 1 508
França, 19 064, 9 594, 9 470,,, 8 121, 4 072, 4 049, 8 259, 4 233, 4 026, 1 973, 1 050,  923,  711,  239,  472, 3 035, 1 443, 1 592
China, 16 631, 8 366, 8 265,,, 6 604, 3 553, 3 051, 9 364, 4 637, 4 727,  444,  153,  291,  219,  23,  196,  634,  311,  323
Guiné-Bissau, 15 298, 7 875, 7 423,,, 12 543, 6 645, 5 898, 2 287, 1 110, 1 177,  180,  82,  98,  288,  38,  250, 1 882,  936,  946
Índia, 14 130, 10 959, 3 171,,, 7 830, 6 768, 1 062, 6 118, 4 117, 2 001,  80,  51,  29,  102,  23,  79,  308,  213,  95
Roménia, 13 837, 6 610, 7 227,,, 6 203, 3 175, 3 028, 6 279, 3 017, 3 262, 1 043,  363,  680,  312,  55,  257, 2 694, 1 106, 1 588
Itália, 13 829, 7 740, 6 089,,, 6 562, 3 357, 3 205, 5 685, 3 450, 2 235, 1 211,  774,  437,  371,  159,  212, 2 037, 1 073,  964
Nepal, 13 224, 8 526, 4 698,,, 5 285, 3 693, 1 592, 7 776, 4 778, 2 998,  98,  46,  52,  65,  9,  56,  314,  150,  164
Espanha, 12 811, 5 909, 6 902,,, 6 555, 3 056, 3 499, 4 720, 2 256, 2 464,  993,  480,  513,  543,  117,  426, 2 298,  951, 1 347
Alemanha, 11 193, 5 682, 5 511,,, 5 192, 2 630, 2 562, 4 422, 2 387, 2 035, 1 095,  527,  568,  484,  138,  346, 1 741,  836,  905
São Tomé e Príncipe, 10 024, 4 375, 5 649,,, 8 538, 3 747, 4 791, 1 197,  548,  649,  146,  66,  80,  143,  14,  129, 2 057, 1 034, 1 023
Apátridas,  149,  80,  69,,,  72,  39,  33,  56,  32,  24,  10,  4,  6,  11,  5,  6,  22,  7,  15
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,,,,,,,,,,,,,
