ano,fonte,tipo_relatorio,grupo_etario_raw,sexo_raw,quantidade
2020,RIFA,1,0-4,M,618.0
2020,RIFA,1,5-9,M,1.022
2020,RIFA,1,10-14,M,1.772
2020,RIFA,1,15-19,M,2.206
2020,RIFA,1,20-24,M,2.203
2020,RIFA,1,25-29,M,2.379
2020,RIFA,1,30-34,M,3.26
2020,RIFA,1,35-39,M,4.925
2020,RIFA,1,40-44,M,6.675
2020,RIFA,1,45-49,M,8.362
2020,RIFA,1,50-54,M,9.32
2020,RIFA,1,55-59,M,7.378
2020,RIFA,1,60-64,M,4.133
2020,RIFA,1,65-69,M,3.059
2020,RIFA,1,70-74,M,2.848
2020,RIFA,1,+75,M,2.94
2020,RIFA,1,0-4,F,588.0
2020,RIFA,1,5-9,F,780.0
2020,RIFA,1,10-14,F,1.54
2020,RIFA,1,15-19,F,1.958
2020,RIFA,1,20-24,F,2.25
2020,RIFA,1,25-29,F,2.455
2020,RIFA,1,30-34,F,2.988
2020,RIFA,1,35-39,F,4.304
2020,RIFA,1,40-44,F,5.706
2020,RIFA,1,45-49,F,6.689
2020,RIFA,1,50-54,F,7.161
2020,RIFA,1,55-59,F,6.037
2020,RIFA,1,60-64,F,4.11
2020,RIFA,1,65-69,F,2.923
2020,RIFA,1,70-74,F,2.655
2020,RIFA,1,+75,F,2.88
2021,RIFA,1,0-4,M,2.94
2021,RIFA,1,5-9,M,2.848
2021,RIFA,1,10-14,M,3.059
2021,RIFA,1,15-19,M,4.133
2021,RIFA,1,20-24,M,7.378
2021,RIFA,1,25-29,M,9.32
2021,RIFA,1,30-34,M,8.362
2021,RIFA,1,35-39,M,6.675
2021,RIFA,1,40-44,M,4.925
2021,RIFA,1,45-49,M,3.26
2021,RIFA,1,50-54,M,2.379
2021,RIFA,1,55-59,M,2.203
2021,RIFA,1,60-64,M,2.206
2021,RIFA,1,65-69,M,1.772
2021,RIFA,1,70-74,M,1.022
2021,RIFA,1,+75,M,618.0
2021,RIFA,1,0-4,F,2.88
2021,RIFA,1,5-9,F,2.655
2021,RIFA,1,10-14,F,2.923
2021,RIFA,1,15-19,F,4.11
2021,RIFA,1,20-24,F,6.037
2021,RIFA,1,25-29,F,7.161
2021,RIFA,1,30-34,F,6.689
2021,RIFA,1,35-39,F,5.706
2021,RIFA,1,40-44,F,4.304
2021,RIFA,1,45-49,F,2.988
2021,RIFA,1,50-54,F,2.455
2021,RIFA,1,55-59,F,2.25
2021,RIFA,1,60-64,F,1.958
2021,RIFA,1,65-69,F,1.54
2021,RIFA,1,70-74,F,780.0
2021,RIFA,1,+75,F,588.0
2022,RIFA,1,0-4,M,2260.0
2022,RIFA,1,5-9,M,3281.0
2022,RIFA,1,10-14,M,3583.0
2022,RIFA,1,15-19,M,4342.0
2022,RIFA,1,20-24,M,7927.0
2022,RIFA,1,25-29,M,12936.0
2022,RIFA,1,30-34,M,12863.0
2022,RIFA,1,35-39,M,10401.0
2022,RIFA,1,40-44,M,7470.0
2022,RIFA,1,45-49,M,4550.0
2022,RIFA,1,50-54,M,3015.0
2022,RIFA,1,55-59,M,2196.0
2022,RIFA,1,60-64,M,1766.0
2022,RIFA,1,65-69,M,1339.0
2022,RIFA,1,70-74,M,702.0
2022,RIFA,1,+75,M,518.0
2022,RIFA,1,0-4,F,2054.0
2022,RIFA,1,5-9,F,3122.0
2022,RIFA,1,10-14,F,3472.0
2022,RIFA,1,15-19,F,4396.0
2022,RIFA,1,20-24,F,7104.0
2022,RIFA,1,25-29,F,8946.0
2022,RIFA,1,30-34,F,8579.0
2022,RIFA,1,35-39,F,7236.0
2022,RIFA,1,40-44,F,5574.0
2022,RIFA,1,45-49,F,3835.0
2022,RIFA,1,50-54,F,2824.0
2022,RIFA,1,55-59,F,2292.0
2022,RIFA,1,60-64,F,1821.0
2022,RIFA,1,65-69,F,1369.0
2022,RIFA,1,70-74,F,768.0
2022,RIFA,1,+75,F,540.0
2023,RMA,1,0 - 4,M,2543.0
2023,RMA,1,5 - 9,M,3747.0
2023,RMA,1,10 - 14,M,4989.0
2023,RMA,1,15 - 19,M,8507.0
2023,RMA,1,20 - 24,M,22171.0
2023,RMA,1,25 - 29,M,33007.0
2023,RMA,1,30 - 34,M,30816.0
2023,RMA,1,35 - 39,M,25650.0
2023,RMA,1,40 - 44,M,17937.0
2023,RMA,1,45 - 49,M,10833.0
2023,RMA,1,50 - 54,M,6679.0
2023,RMA,1,55 - 59,M,4573.0
2023,RMA,1,60 - 64,M,3613.0
2023,RMA,1,65 - 69,M,2670.0
2023,RMA,1,70 - 74,M,1574.0
2023,RMA,1,>= 75,M,1092.0
2023,RMA,1,0 - 4,F,2471.0
2023,RMA,1,5 - 9,F,3444.0
2023,RMA,1,10 - 14,F,4570.0
2023,RMA,1,15 - 19,F,8478.0
2023,RMA,1,20 - 24,F,19249.0
2023,RMA,1,25 - 29,F,25114.0
2023,RMA,1,30 - 34,F,22334.0
2023,RMA,1,35 - 39,F,18189.0
2023,RMA,1,40 - 44,F,13769.0
2023,RMA,1,45 - 49,F,9290.0
2023,RMA,1,50 - 54,F,6835.0
2023,RMA,1,55 - 59,F,5571.0
2023,RMA,1,60 - 64,F,3991.0
2023,RMA,1,65 - 69,F,2694.0
2023,RMA,1,70 - 74,F,1470.0
2023,RMA,1,>= 75,F,1108.0
2024,RMA,1,0-9,M,6167.0
2024,RMA,1,10-17,M,7103.0
2024,RMA,1,18-34,M,60553.0
2024,RMA,1,35-44,M,30304.0
2024,RMA,1,45-54,M,11954.0
2024,RMA,1,55-64,M,5141.0
2024,RMA,1,≥ 65,M,3167.0
2024,RMA,1,0-9,F,6001.0
2024,RMA,1,10-17,F,6528.0
2024,RMA,1,18-34,F,43759.0
2024,RMA,1,35-44,F,19028.0
2024,RMA,1,45-54,F,9061.0
2024,RMA,1,55-64,F,5849.0
2024,RMA,1,≥ 65,F,3717.0
