codigo_despacho,descricao
CR 0,Cer􀆞icado de Residência de cidadão da UE
Artº 88 nº 2,"Exercício de a􀆟vidade profissional subordinada, c/dispensa VR válido"
Artº 98 nº 2,Reagrupamento familiar (Titular AR Temporária)
CR 15,Cartão de residência de familiar do cidadão da UE nacional de Estado terceiro
Artº 91 nº 1,Estudantes do ensino superior
Artº 89 nº 2,Exercício de a􀆟vidade profissional subordinada
Artº 122 nº 1 k,Com filhos menores residentes em Portugal ou com nacionalidade portuguesa com responsabilidades parentais
Artº 91 nº 4,"Estudantes ensino superior, c/dispensa de VR válido"
Artº 92 nº 3,Estudantes do ensino secundário c/ dispensa de VR válido
Artº 98 nº 2 ARI,Reagrupamento familiar (Titular AR Inves􀆟mento)
Artº 88 n.º 2,"01 - Exercício de a􀆟vidade profissional subordinada, c/dispensa VR válido"
Artº 98 n.º 2,03 - Reagrupamento familiar (Titular AR Temporária)
Artº 91 n.º 1,05 - Estudantes do ensino superior
Artº 122 n.º 1 k,06 - Com filhos menores residentes em Portugal ou com nacionalidade portuguesa com responsabilidades parentais
Artº 89 n.º 2,07 - Exercício de a􀆟vidade profissional subordinada mediante manifestação de interesse
Artº 77,08 - Condições gerais de concessão de autorização de residência temporária
Artº 92 n.º 3,09 - Estudantes do ensino secundário c/ dispensa de VR válido
Artº 98 n.º 1,10 - Reagrupamento familiar (cujos membros da familia que se encontrem fora de TN)
Outros,-
Art.º 87A,Autorização de residência para cidadãos da Comunidade dos Países de Língua Portuguesa
Art.º 88 n.º 2,Autorização de residência para exercício de atividade profissional subordinada com dispensa Visto de Residência válido
Art.º 98 n.º 2,Direito ao reagrupamento familiar (cujos membros da família tenham entrado legalmente em TN e com AR válida)
Art.º 91 n.º 1,Autorização de residência para estudantes do ensino superior titular de Visto de Residência
Art.º 88 n.º 1,Autorização de residência para exercício de atividade profissional subordinada
Art.º 98 n.º 1,Direito ao reagrupamento familiar (cujos membros da família se encontrem fora do território nacional)
Art.º 77 n.º 1,Condições gerais de concessão de autorização de residência temporária
Art.º 92 n.º 3,Autorização de residência para estudantes do ensino superior com dispensa Visto de Residência válido
Art.º 122 n.º 1 k,Autorização de residência com dispensa de Visto de Residência que tenham filhos menores residentes em Portugal ou com nacionalidade portuguesa sobre os quais exerçam efetivamente as responsabilidades parentais
Art.º 89 n.º 2,Autorização de residência para exercício de atividade profissional independente ou para imigrantes empreendedores com dispensa Visto de Residência válido
